"source","target","value","type"
"ADMINISTRATIVE SUPPORT SERVICES","Department of the Army",2503828.47,"contract"
"ADMINISTRATIVE SUPPORT SERVICES","Environmental Protection Agency",2450060.39,"contract"
"ADMINISTRATIVE SUPPORT SERVICES","Office of the Assistant Secretary for Administration",1955026.89,"contract"
"ADMINISTRATIVE SUPPORT SERVICES","Executive Office of the President",1237087,"contract"
"ADMINISTRATIVE SUPPORT SERVICES","Department of Veterans Affairs",309346.22,"contract"
"AEROSPACE CRAFT & STRUCTURAL COMPONENTS","National Aeronautics and Space Administration",300000,"contract"
"AEROSPACE CRAFT & STRUCTURAL COMPONENTS","Department of the Army",69970,"contract"
"AEROSPACE CRAFT LAUNCHING, LANDING, HANDLING, & SERVICING","National Aeronautics and Space Administration",63463,"contract"
"AGRICULTURAL MACHINERY & EQUIPMENT","Agricultural Research Service",57638.25,"contract"
"AGRICULTURAL SUPPLIES","Agricultural Research Service",15553.02,"contract"
"AGRICULTURE R&D","Farm Service Agency",349982,"contract"
"AGRICULTURE R&D","Department of the Army",227500,"contract"
"AGRICULTURE R&D","Department of Veterans Affairs",101581.03,"contract"
"AGRICULTURE R&D","Agricultural Research Service",47161.19,"contract"
"AGRICULTURE R&D","National Aeronautics and Space Administration",24665.75,"contract"
"ARCHITECTURAL & ENGINEERING SERVICES - CONSTRUCTION","Federal Highway Administration",124531.74,"contract"
"ARCHITECTURAL & ENGINEERING SERVICES - CONSTRUCTION","Department of the Air Force",7506,"contract"
"ARCHITECTURAL & ENGINEERING SERVICES - GENERAL","Department of the Air Force",9500,"contract"
"BOOKS, MAPS, & OTHER PUBLICATIONS","Offices, Boards and Divisions",115360,"contract"
"BOOKS, MAPS, & OTHER PUBLICATIONS","Animal and Plant Health Inspection Service",59000,"contract"
"BOOKS, MAPS, & OTHER PUBLICATIONS","Department of the Navy",50530.67,"contract"
"BOOKS, MAPS, & OTHER PUBLICATIONS","Department of the Army",46325,"contract"
"BOOKS, MAPS, & OTHER PUBLICATIONS","U.S. Army Corps of Engineers - Civil Program Financing Only",27270,"contract"
"CHEMICALS & CHEMICAL PRODUCTS","National Oceanic and Atmospheric Administration",809875.5,"contract"
"CHEMICALS & CHEMICAL PRODUCTS","Environmental Protection Agency",34871.34,"contract"
"CHEMICALS & CHEMICAL PRODUCTS","National Institute of Standards and Technology",14000,"contract"
"CHEMICALS & CHEMICAL PRODUCTS","Smithsonian Institution",4500,"contract"
"CLOTHING, INDIVIDUAL EQUIPMENT, INSIGNAS, & JEWELRY","Department of the Army",478956.8,"contract"
"COMMUNCTATIONS AND RADAR EQUIPMENT","Department of the Army",30000,"contract"
"COMMUNCTATIONS AND RADAR EQUIPMENT","National Oceanic and Atmospheric Administration",12836.38,"contract"
"COMMUNCTATIONS AND RADAR EQUIPMENT","National Institutes of Health",5000,"contract"
"COMMUNCTATIONS AND RADAR EQUIPMENT","Department of the Navy",3900,"contract"
"COMMUNITY SERVICE R&D","Smithsonian Institution",1211435,"contract"
"COMMUNITY SERVICE R&D","Centers for Disease Control and Prevention",1108870,"contract"
"COMMUNITY SERVICE R&D","National Institutes of Health",785611.62,"contract"
"COMMUNITY SERVICE R&D","Department of the Navy",290789.62,"contract"
"COMMUNITY SERVICE R&D","Federal Highway Administration",242987.95,"contract"
"DEFENSE (OTHER) R&D","Department of the Navy",731430736.92,"contract"
"DEFENSE (OTHER) R&D","Defense Advanced Research Projects Agency",158279471.48,"contract"
"DEFENSE (OTHER) R&D","Department of the Air Force",45985712.45,"contract"
"DEFENSE (OTHER) R&D","Defense Threat Reduction Agency",18807162.77,"contract"
"DEFENSE (OTHER) R&D","Department of the Army",17900803.62,"contract"
"DEFENSE SYSTEMS R&D","Department of the Air Force",1212159792.96,"contract"
"DEFENSE SYSTEMS R&D","Missile Defense Agency",174106436.45,"contract"
"DEFENSE SYSTEMS R&D","Department of the Navy",61932962.83,"contract"
"DEFENSE SYSTEMS R&D","Department of Defense",46626276.65,"contract"
"DEFENSE SYSTEMS R&D","Department of the Army",27387841.83,"contract"
"ECONOMIC GROWTH & PRODUCTIVITY R&D","Department of the Navy",6657320,"contract"
"ECONOMIC GROWTH & PRODUCTIVITY R&D","Food and Drug Administration",651762,"contract"
"EDUCATION & TRAINING SERVICES","Department of the Navy",178675816.49,"contract"
"EDUCATION & TRAINING SERVICES","Department of the Army",12656179.81,"contract"
"EDUCATION & TRAINING SERVICES","Office of Assistant Secretary for Preparedness and Response",6967825.92,"contract"
"EDUCATION & TRAINING SERVICES","Department of Veterans Affairs",4845062.62,"contract"
"EDUCATION & TRAINING SERVICES","Social Security Administration",4327583,"contract"
"EDUCATION R & D","Department of Defense",8294442,"contract"
"EDUCATION R & D","Office of the Under Secretary for Science and Technology",7233577.94,"contract"
"EDUCATION R & D","Department of the Army",5510511.06,"contract"
"EDUCATION R & D","Transportation Security Administration",2694650.98,"contract"
"EDUCATION R & D","Federal Prison System / Bureau of Prisons",2146702.6,"contract"
"ELECTRICAL COMPONENTS & EQUIPMENT","Department of the Air Force",42640382,"contract"
"ELECTRICAL COMPONENTS & EQUIPMENT","National Aeronautics and Space Administration",99446,"contract"
"ELECTRICAL COMPONENTS & EQUIPMENT","Defense Logistics Agency",1310,"contract"
"ELECTRICAL WIRES & POWER DISTRIBUTION EQUIPMENT","Smithsonian Institution",14716.4,"contract"
"ENERGY R&D","Nuclear Regulatory Commission",590914,"contract"
"ENERGY R&D","Department of the Navy",179575,"contract"
"ENERGY R&D","National Aeronautics and Space Administration",69871.92,"contract"
"ENGINES, TURBINES, & COMPONENTS","National Aeronautics and Space Administration",25403,"contract"
"ENVIRONMENTAL PROTECTION R&D","Department of the Army",34673721.68,"contract"
"ENVIRONMENTAL PROTECTION R&D","Department of the Navy",361038.23,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION","Farm Service Agency",163390,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION","U.S. Army Corps of Engineers - Civil Program Financing Only",143234.89,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION","U.S. Fish and Wildlife Service",95000,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION","U.S. Geological Survey",40055,"contract"
"ENVIRONMENTAL SYSTEMS PROTECTION","National Oceanic and Atmospheric Administration",24198,"contract"
"EQUIPMENT & MATERIALS TESTING","National Aeronautics and Space Administration",303685,"contract"
"EQUIPMENT & MATERIALS TESTING","Department of the Air Force",248920,"contract"
"EQUIPMENT & MATERIALS TESTING","Department of Veterans Affairs",196427.13,"contract"
"EQUIPMENT & MATERIALS TESTING","Department of the Army",146802.76,"contract"
"EQUIPMENT & MATERIALS TESTING","Centers for Disease Control and Prevention",77237.88,"contract"
"FIRE, RESCUE, & SAFETY","Federal Prison System / Bureau of Prisons",8380,"contract"
"FIRE, RESCUE, & SAFETY","Agricultural Research Service",177.53,"contract"
"GEN. SCIENCE & TECHNOLOGY R&D","Department of Defense",72174066.17,"contract"
"GEN. SCIENCE & TECHNOLOGY R&D","Department of the Army",65820432.25,"contract"
"GEN. SCIENCE & TECHNOLOGY R&D","National Aeronautics and Space Administration",25060605.21,"contract"
"GEN. SCIENCE & TECHNOLOGY R&D","Department of the Navy",19552984.94,"contract"
"GEN. SCIENCE & TECHNOLOGY R&D","Department of the Air Force",12137924.05,"contract"
"GENERAL HEALTH CARE SERVICES","Federal Prison System / Bureau of Prisons",72802072.6,"contract"
"GENERAL HEALTH CARE SERVICES","Centers for Disease Control and Prevention",54255865.3,"contract"
"GENERAL HEALTH CARE SERVICES","Department of Veterans Affairs",17908962.29,"contract"
"GENERAL HEALTH CARE SERVICES","Indian Health Service",2258234.52,"contract"
"GENERAL HEALTH CARE SERVICES","Health Resources and Services Administration",250309.7,"contract"
"HOUSEKEEPING SERVICES","National Archives and Records Administration",5406483.71,"contract"
"HOUSEKEEPING SERVICES","Department of Veterans Affairs",713646.85,"contract"
"HOUSEKEEPING SERVICES","National Oceanic and Atmospheric Administration",410087.44,"contract"
"HOUSEKEEPING SERVICES","Forest Service",285717.44,"contract"
"HOUSEKEEPING SERVICES","Department of the Army",222247.45,"contract"
"HOUSING R&D","Department of Veterans Affairs",417752.52,"contract"
"INCOME SECURITY R&D","Veterans Employment and Training Services",70299,"contract"
"INSPECTION SERVICES","National Aeronautics and Space Administration",60350,"contract"
"INSPECTION SERVICES","Department of the Navy",700,"contract"
"INSTALLATION OF EQUIPMENT","National Oceanic and Atmospheric Administration",89861.51,"contract"
"INSTALLATION OF EQUIPMENT","National Institutes of Health",35824,"contract"
"INSTRUMENTS & LABORATORY EQUIPMENT","Department of the Army",1073423.37,"contract"
"INSTRUMENTS & LABORATORY EQUIPMENT","Centers for Disease Control and Prevention",517798.24,"contract"
"INSTRUMENTS & LABORATORY EQUIPMENT","Department of Defense",436899.36,"contract"
"INSTRUMENTS & LABORATORY EQUIPMENT","National Institutes of Health",226326.39,"contract"
"INSTRUMENTS & LABORATORY EQUIPMENT","National Aeronautics and Space Administration",223788,"contract"
"IT & TELECOMMUNICATIONS","National Aeronautics and Space Administration",8409290.78,"contract"
"IT & TELECOMMUNICATIONS","National Oceanic and Atmospheric Administration",4051495.89,"contract"
"IT & TELECOMMUNICATIONS","Defense Media Activity",3978783,"contract"
"IT & TELECOMMUNICATIONS","President's Committee on Employment of the Handicapped",2828861,"contract"
"IT & TELECOMMUNICATIONS","Office of the Assistant Secretary for Administration",1512058,"contract"
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","Department of the Air Force",4783849.85,"contract"
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","Department of Defense",1933195.75,"contract"
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","Centers for Disease Control and Prevention",750000,"contract"
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","Department of the Navy",425591.83,"contract"
"IT EQUIPMENT, SOFTWARE, SUPPLIES, & SUPPORT","U.S. Army Corps of Engineers - Civil Program Financing Only",312499,"contract"
"LABORATORY TESTING SERVICES","Department of Veterans Affairs",15072525.59,"contract"
"LABORATORY TESTING SERVICES","National Institutes of Health",1735484.53,"contract"
"LABORATORY TESTING SERVICES","Centers for Disease Control and Prevention",771936.41,"contract"
"LABORATORY TESTING SERVICES","Department of the Army",314557.22,"contract"
"LABORATORY TESTING SERVICES","Department of the Navy",250000,"contract"
"LEASE & RENTAL EQUIPMENT","Federal Aviation Administration",782105.5,"contract"
"LEASE & RENTAL EQUIPMENT","Department of the Navy",271632,"contract"
"LEASE & RENTAL EQUIPMENT","Department of the Air Force",160096,"contract"
"LEASE & RENTAL EQUIPMENT","Department of Energy",140526.29,"contract"
"LEASE & RENTAL EQUIPMENT","Forest Service",94916,"contract"
"LEASE & RENTAL OF BUILDINGS","Department of the Navy",424305.15,"contract"
"LEASE & RENTAL OF BUILDINGS","Forest Service",419290.77,"contract"
"LEASE & RENTAL OF BUILDINGS","Department of the Air Force",350880.7,"contract"
"LEASE & RENTAL OF BUILDINGS","Department of the Army",284723.18,"contract"
"LEASE & RENTAL OF BUILDINGS","Federal Emergency Management Agency",138300,"contract"
"LIVE ANIMALS","National Institutes of Health",594126.24,"contract"
"LIVE ANIMALS","Agricultural Research Service",238141.44,"contract"
"LIVE ANIMALS","Department of the Navy",144161.04,"contract"
"LIVE ANIMALS","Food and Drug Administration",25600,"contract"
"LIVE ANIMALS","Health Resources and Services Administration",20260,"contract"
"MAINTENANCE & REPAIR OF EQUIPMENT","Smithsonian Institution",28460,"contract"
"MAINTENANCE & REPAIR OF EQUIPMENT","Maritime Administration",25000,"contract"
"MAINTENANCE & REPAIR OF EQUIPMENT","Agricultural Research Service",24013.81,"contract"
"MAINTENANCE & REPAIR OF EQUIPMENT","Environmental Protection Agency",23925.12,"contract"
"MAINTENANCE & REPAIR OF EQUIPMENT","National Oceanic and Atmospheric Administration",23025.33,"contract"
"MAINTENANCE, REPAIRS, & ALTERATIONS OF BUILDINGS","Agricultural Research Service",167939,"contract"
"MAINTENANCE, REPAIRS, & ALTERATIONS OF BUILDINGS","National Oceanic and Atmospheric Administration",12903.6,"contract"
"MAINTENANCE, REPAIRS, & ALTERATIONS OF BUILDINGS","Forest Service",6000,"contract"
"MAINTENANCE, REPAIRS, & ALTERATIONS OF NONBUILDINGS","Agricultural Research Service",22273.97,"contract"
"MAINTENANCE, REPAIRS, & ALTERATIONS OF NONBUILDINGS","National Park Service",8325.24,"contract"
"MANAGEMENT SUPPORT SERVICES","Bureau of Labor Statistics",12212580.82,"contract"
"MANAGEMENT SUPPORT SERVICES","Agency for International Development",6533437,"contract"
"MANAGEMENT SUPPORT SERVICES","National Aeronautics and Space Administration",6168460.55,"contract"
"MANAGEMENT SUPPORT SERVICES","Centers for Disease Control and Prevention",5505977,"contract"
"MANAGEMENT SUPPORT SERVICES","Agency for Healthcare Research and Quality",2165398,"contract"
"MATERIALS HANDLING EQUIPMENT","Department of the Army",25000,"contract"
"MEDICAL R&D","National Institutes of Health",338970001.72,"contract"
"MEDICAL R&D","Centers for Medicare and Medicaid Services",27902126.67,"contract"
"MEDICAL R&D","Defense Health Agency",17202604.88,"contract"
"MEDICAL R&D","Department of the Army",17017537.28,"contract"
"MEDICAL R&D","Department of Veterans Affairs",16143941.01,"contract"
