,State_code,cfda_number,program_title,types_of_assistance,objectives,beneficiary_eligability,level_of_detail,level_of_focus_on_homelessness,category,program_website,CFDA_website,fed_funding
1,PR,64.024,VA Homeless Providers Grant and Per Diem Program,B - PROJECT GRANTS,"To assist public and nonprofit private entities in establishing new programs and service centers to furnish supportive services and supportive housing for homeless veterans through grants that may be used to acquire, renovate or alter facilities, and to provide per diem payments, to eligible entities that provide supportive services and supportive housing for homeless veterans.","Veterans, meaning a person who served in the active military, naval or air service, and who was discharged or released there from under conditions other than dishonorable.",CoC,1,Housing,http://www.va.gov/homeless/GPD.asp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=67fc2accc0cc28afb7ef749bae599caf,264464
2,PR,93.623,Basic Center Grant,B - PROJECT GRANTS,"The purpose of Part A of the RHY Act (Runaway and Homeless Youth Grant Program) is to establish or strengthen locally controlled community-based programs that address the immediate needs of runaway and homeless youth and their families. Services must be delivered outside of the law enforcement, child welfare, mental health, and juvenile justice systems. The goals and objectives of the Basic Center Program are to: 1) alleviate problems of runaway and homeless youth; 2) reunite youth with their families, if deemed safe, and encourage the resolution of intra-family problems through counseling and other services; 3) strengthen family relationships and encourage stable living conditions for youth; and 4) help youth decide on constructive courses of action.",Runaway and homeless youth and their families are the beneficiaries. Services can be provided to youth up to the age of 18.,CoC,1,Support Services,http://www.acf.hhs.gov/programs/fysb.,https://cfda.gov/index?s=program&mode=form&tab=step1&id=5000109fa3a630c48fc6d5b4e9fddb9d,400000
3,PR,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,20074037.86
4,PR,14.238,Shelter Plus Care,B - PROJECT GRANTS,"The Shelter Plus Care Program provides rental assistance, in connection with supportive services funded from sources other than this program, to homeless persons with disabilities (primarily persons who are seriously mentally ill; have chronic problems with alcohol, drugs, or both, or have acquired immunodeficiency syndrome and related diseases) and their families. The program provides assistance through four components: (1) Tenant-based Rental Assistance (TRA); (2) Sponsor-based Rental Assistance (SRA); (3) Project-based Rental Assistance (PRA); (4) and Single Room Occupancy for Homeless Individuals (SRO).",Homeless persons with disabilities and their families. Except in single room occupancy dwellings that are only for homeless individuals with disabilities.,CoC,1,Housing,https://www.hudexchange.info/spc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=2c6200c53d783128d143a1977a047db1,-76246.75
5,PR,14.235,Supportive Housing Program,"B - PROJECT GRANTS, C - DIRECT PAYMENTS FOR A SPECIFIED USE","The Supportive Housing Program is designed to promote the development of supportive housing and supportive services to assist homeless individuals and families in the transition from homelessness and to enable them to live as independently as possible. Program funds may be used to provide: (i) transitional housing within a 24-month period as well as up to six months of follow-up services to former residents to assist their adjustment to independent living; (ii) permanent housing provided in conjunction with appropriate supportive services designed to maximize the ability of persons with disabilities to live as independently as possible; (iii) supportive housing that is, or is part of, a particularly innovative project for, or alternative method of, meeting the immediate and long-term needs of homeless individuals and families; (iv) supportive services for homeless individuals not provided in conjunction with supportive housing,(v) safe havens for homeless individuals with serious mental illness currently residing on the streets who may not yet be ready for supportive services; and (vi) Homeless Management Information Systems (HMIS) for developing management information systems to maintain data on beds, units and homeless individuals.",Homeless individuals and families with children.,CoC,1,Housing,http://www.hudexchange.info/shp,https://cfda.gov/index?s=program&mode=form&tab=step1&id=e8bccb4b9e5871bc750fa3843e66dcdf,-471288.28
6,PR,16.736,"Transitional Housing Assistance for Victims of Domestic Violence, Dating Violence, Stalking, or Sexual Assault",B - PROJECT GRANTS,"To provide transitional housing assistance and related support services to minors, adults, and their dependents who are homeless, or in need of transitional housing or other housing assistance, as a result of a situation of domestic violence, dating violence, sexual assault, or stalking; and for whom emergency shelter services or other crisis intervention services are unavailable or insufficient.","Beneficiaries include minors, adults, and their dependants who are homeless or in need of transitional housing or other housing assistance, as a result of a situation of domestic violence; and for whom emergency shelter services or other crisis intervention services are unavailable or insufficient.",CoC,1,Housing,http://www.justice.gov/ovw,https://cfda.gov/index?s=program&mode=form&tab=step1&id=253064427602732ba0055eda5f518a25,645091.59
7,VI,14.267,Continuum of Care Program,"B - Project Grants, C - Direct Payments for Specified Use","The program is designed to promote community-wide commitment to the goal of ending homelessness; provide funding for efforts by nonprofit providers, States, and local governments to quickly house homeless individuals and families while minimizing the trauma and dislocation caused to homeless individuals, families, and communities by homelessness; promote access to and effective utilization of mainstream programs by homeless individuals and families; and optimize self-sufficiency among individuals and families experiencing homelessness. Continuum of Care Program funds may be used to pay for the eligible costs used to establish and operate projects under five program components: (i) permanent housing, which includes permanent supportive housing for persons with disabilities, and rapid rehousing; (ii) transitional housing; (iii) supportive services only; (iv) Homeless Management Information Systems (HMIS), and (v) in some cases, homelessness prevention.","Homeless individuals and families with children; Recipients in Continuums of Care that have been designated by HUD as High Performing Communities (HPC) may serve persons determined to be at-risk of homelessness, based on criteria established through the present year Notice of Funding Availability (NOFA).",CoC,1,Housing,http://www.hudexchange.info/coc,https://cfda.gov/index?s=program&mode=form&tab=step1&id=15625a40a83ffcbd5d4b9362ccb0d1e1,98849
8,VI,14.241,Housing Opportunities for Persons with AIDS,"A - Formula Grants, B - Project Grants",To provide States and localities with the resources and incentives to devise long-term comprehensive strategies for meeting the supportive housing needs of low-income persons and their families living with HIV/AIDS in order to prevent homelessness and sustain housing stability for HOPWA program beneficiaries.,Eligible beneficiaries are low income (at or below 80% the area median income) persons living with HIV/AIDS and their families.,States,3,Housing,https://www.hudexchange.info/programs/hopwa/,https://cfda.gov/index?s=program&mode=form&tab=step1&id=7804e82c0586341663b38c9b2844ad4b,1435614
9,PR,14.241,Housing Opportunities for Persons with AIDS,"A - Formula Grants, B - Project Grants",To provide States and localities with the resources and incentives to devise long-term comprehensive strategies for meeting the supportive housing needs of low-income persons and their families living with HIV/AIDS in order to prevent homelessness and sustain housing stability for HOPWA program beneficiaries.,Eligible beneficiaries are low income (at or below 80% the area median income) persons living with HIV/AIDS and their families.,States,3,Housing,https://www.hudexchange.info/programs/hopwa/,https://cfda.gov/index?s=program&mode=form&tab=step1&id=7804e82c0586341663b38c9b2844ad4b,6230453
10,PR,84.196,Education for Homeless Children and Youth,A - FORMULA GRANTS,"To ensure that all homeless children and youth have equal access to the same free, appropriate public education available to other children, the Education for Homeless Children and Youth program provides assistance to States to: (1) establish or designate an Office of Coordinator for Education of Homeless Children and Youths; (2) develop and carry out a State plan for the education of homeless children; and (3) make subgrants to local educational agencies (LEAs) to support the education of those children.","To ensure that all homeless children and youth have equal access to the same free, appropriate public education available to other children, the Education for Homeless Children and Youth program provides assistance to States to: (1) establish or designate an Office of Coordinator for Education of Homeless Children and Youths; (2) develop and carry out a State plan for the education of homeless children; and (3) make subgrants to local educational agencies (LEAs) to support the education of those children.",State,1,Education,http://www.ed.gov/programs/homeless/index.html.,https://cfda.gov/index?s=program&mode=form&tab=step1&id=f991d26b26727dda1ab886c9eb346014,1961751
